id,Conference,Division,Team,Location,Arena,Arena capacity,Year joined to the NBA,Championship wins,Image,MVPs,Hall_of_Famers,ROY_Winners
1,Eastern,Atlantic,Boston Celtics,"Boston, Massachusetts",TD Garden,18624,1946,17,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/200px-Boston_Celtics.svg.png,10,38,3
2,Eastern,Atlantic,Brooklyn Nets,"New York City, New York",Barclays Center,17732,1976,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/150px-Brooklyn_Nets_newlogo.svg.png,0,16,2
3,Eastern,Atlantic,New York Knicks,"New York City, New York",Madison Square Garden,19812,1946,2,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/200px-New_York_Knicks_logo.svg.png,1,29,3
4,Eastern,Atlantic,Philadelphia 76ers,"Philadelphia, Pennsylvania",Wells Fargo Center,21600,1949,3,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/200px-Philadelphia_76ers_logo.svg.png,7,21,3
5,Eastern,Atlantic,Toronto Raptors,"Toronto, Ontario",Scotiabank Arena,19800,1995,1,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/200px-Toronto_Raptors_logo.svg.png,0,3,3
6,Eastern,Central,Chicago Bulls,"Chicago, Illinois",United Center,20917,1966,6,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/200px-Chicago_Bulls_logo.svg.png,6,13,3
7,Eastern,Central,Cleveland Cavaliers,"Cleveland, Ohio",Rocket Mortgage FieldHouse,20562,1970,1,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Cleveland_Cavaliers_logo.svg/100px-Cleveland_Cavaliers_logo.svg.png,2,7,2
8,Eastern,Central,Detroit Pistons,"Detroit, Michigan",Little Caesars Arena,20491,1948,3,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pistons_logo17.svg/200px-Pistons_logo17.svg.png,0,22,3
9,Eastern,Central,Indiana Pacers,"Indianapolis, Indiana",Bankers Life Fieldhouse,17923,1976,0,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png,0,8,1
10,Eastern,Central,Milwaukee Bucks,"Milwaukee, Wisconsin",Fiserv Forum,18717,1968,1,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/180px-Milwaukee_Bucks_logo.svg.png,5,14,2
11,Eastern,Southeast,Atlanta Hawks,"Atlanta, Georgia",State Farm Arena,15711,1949,1,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/200px-Atlanta_Hawks_logo.svg.png,2,24,1
12,Eastern,Southeast,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,19077,1988,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/200px-Charlotte_Hornets_%282014%29.svg.png,0,4,3
13,Eastern,Southeast,Miami Heat,"Miami, Florida",American Airlines Arena,19600,1988,3,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png,2,5,1
14,Eastern,Southeast,Orlando Magic,"Orlando, Florida",Amway Center,18846,1989,0,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/200px-Orlando_Magic_logo.svg.png,0,6,3
15,Eastern,Southeast,Washington Wizards,"Washington, D.C.",Capital One Arena,20356,1961,1,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/200px-Washington_Wizards_logo.svg.png,1,17,1
16,Western,Northwest,Denver Nuggets,"Denver, Colorado",Pepsi Center,19520,1976,0,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/200px-Denver_Nuggets.svg.png,3,12,0
17,Western,Northwest,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19356,1989,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/200px-Minnesota_Timberwolves_logo.svg.png,1,0,2
18,Western,Northwest,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,18203,1967,1,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/200px-Oklahoma_City_Thunder.svg.png,3,13,1
19,Western,Northwest,Portland Trail Blazers,"Portland, Oregon",Moda Center,19441,1970,1,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/220px-Portland_Trail_Blazers_logo.svg.png,1,9,0
20,Western,Northwest,Utah Jazz,"Salt Lake City, Utah",Vivint Smart Home Arena,19911,1974,0,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Utah_Jazz_logo_%282016%29.svg/200px-Utah_Jazz_logo_%282016%29.svg.png,0,9,0
21,Western,Pacific,Golden State Warriors,"San Francisco, California",Chase Center,18064,1946,6,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/200px-Golden_State_Warriors_logo.svg.png,3,24,6
22,Western,Pacific,Los Angeles Clippers,"Los Angeles, California",Staples Center,19060,1970,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Los_Angeles_Clippers_%282015%29.svg/200px-Los_Angeles_Clippers_%282015%29.svg.png,1,10,5
23,Western,Pacific,Los Angeles Lakers,"Los Angeles, California",Staples Center,18997,1948,16,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/200px-Los_Angeles_Lakers_logo.svg.png,8,41,1
24,Western,Pacific,Phoenix Suns,"Phoenix, Arizona",Talking Stick Resort Arena,18055,1968,0,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/200px-Phoenix_Suns_logo.svg.png,3,13,3
25,Western,Pacific,Sacramento Kings,"Sacramento, California",Golden 1 Center,17500,1948,1,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/200px-SacramentoKings.svg.png,1,18,3
26,Western,Southwest,Dallas Mavericks,"Dallas, Texas",American Airlines Center,19200,1980,1,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/200px-Dallas_Mavericks_logo.svg.png,1,7,2
27,Western,Southwest,Houston Rockets,"Houston, Texas",Toyota Center,18055,1967,2,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/150px-Houston_Rockets.svg.png,4,14,2
28,Western,Southwest,Memphis Grizzlies,"Memphis, Tennessee",FedExForum,18119,1995,0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/200px-Memphis_Grizzlies.svg.png,0,1,2
29,Western,Southwest,New Orleans Pelicans,"New Orleans, Louisiana",Smoothie King Center,16867,2002,0,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/New_Orleans_Pelicans_logo.svg/200px-New_Orleans_Pelicans_logo.svg.png,0,0,1
30,Western,Southwest,San Antonio Spurs,"San Antonio, Texas",AT&T Center,18418,1976,5,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/200px-San_Antonio_Spurs.svg.png,3,12,4
